movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
Interstellar,2014,8.6,https://www.imdb.com//title/tt0816692/,2h 49m,Adventure,Christopher Nolan,https://www.imdb.com/name/nm0634240/?ref_=tt_ov_dr,"['Inception', 'Interstellar', 'Dunkirk']"
Star Wars,1977,8.6,https://www.imdb.com//title/tt0076759/,2h 1m,Action,George Lucas,https://www.imdb.com/name/nm0000184/?ref_=tt_ov_dr,"['THX 1138', 'American Graffiti', 'Raiders of the Lost Ark']"
Terminator 2: Judgment Day,1991,8.5,https://www.imdb.com//title/tt0103064/,2h 17m,Action,James Cameron,https://www.imdb.com/name/nm0000116/?ref_=tt_ov_dr,"['Titanic', 'Terminator 2: Judgment Day', 'Aliens']"
Back to the Future,1985,8.5,https://www.imdb.com//title/tt0088763/,1h 56m,Adventure,Robert Zemeckis,https://www.imdb.com/name/nm0000709/?ref_=tt_ov_dr,"['Forrest Gump', 'Contact', 'Flight']"
Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com//title/tt0245429/,2h 5m,Animation,Hayao Miyazaki,https://www.imdb.com/name/nm0594503/?ref_=tt_ov_dr,"['Tonari no Totoro', 'Hauru no ugoku shiro', 'Mononoke-hime']"
Psycho,1960,8.5,https://www.imdb.com//title/tt0054215/,1h 49m,Horror,Alfred Hitchcock,https://www.imdb.com/name/nm0000033/?ref_=tt_ov_dr,"['North by Northwest', 'Vertigo', 'The Birds']"
The Pianist,2002,8.5,https://www.imdb.com//title/tt0253474/,2h 30m,Biography,Roman Polanski,https://www.imdb.com/name/nm0000591/?ref_=tt_ov_dr,"['Le locataire', 'The Ghost Writer', 'Carnage']"
Léon,1994,8.5,https://www.imdb.com//title/tt0110413/,1h 50m,Action,Luc Besson,https://www.imdb.com/name/nm0000108/?ref_=tt_ov_dr,"['Léon', 'Lucy', 'Nikita']"
Gisaengchung,2019,8.5,https://www.imdb.com//title/tt6751668/,2h 12m,Comedy,Bong Joon Ho,https://www.imdb.com/name/nm0094435/?ref_=tt_ov_dr,"['Okja', 'Gisaengchung', 'Gwoemul']"
The Lion King,1994,8.5,https://www.imdb.com//title/tt0110357/,1h 28m,Animation,Roger Allers,https://www.imdb.com/name/nm0021249/?ref_=tt_ov_dr,"['Aladdin', 'Beauty and the Beast', 'TRON']"
Gladiator,2000,8.5,https://www.imdb.com//title/tt0172495/,2h 35m,Action,Ridley Scott,https://www.imdb.com/name/nm0000631/?ref_=tt_ov_dr,"['Blade Runner', 'Thelma & Louise', 'Gladiator']"
American History X,1998,8.5,https://www.imdb.com//title/tt0120586/,1h 59m,Crime,Tony Kaye,https://www.imdb.com/name/nm0443411/?ref_=tt_ov_dr,"['Lake of Fire', 'American History X', 'Mad for Love!']"
The Usual Suspects,1995,8.5,https://www.imdb.com//title/tt0114814/,1h 46m,Crime,Bryan Singer,https://www.imdb.com/name/nm0001741/?ref_=tt_ov_dr,"['The Usual Suspects', 'Superman Returns', 'X-Men: Days of Future Past']"
The Departed,2006,8.5,https://www.imdb.com//title/tt0407887/,2h 31m,Crime,Martin Scorsese,https://www.imdb.com/name/nm0000217/?ref_=tt_ov_dr,"['Mean Streets', 'Goodfellas', 'The Age of Innocence']"
The Prestige,2006,8.5,https://www.imdb.com//title/tt0482571/,2h 10m,Drama,Christopher Nolan,https://www.imdb.com/name/nm0634240/?ref_=tt_ov_dr,"['Inception', 'Interstellar', 'Dunkirk']"
Casablanca,1942,8.5,https://www.imdb.com//title/tt0034583/,1h 42m,Drama,Michael Curtiz,https://www.imdb.com/name/nm0002031/?ref_=tt_ov_dr,"['The Adventures of Robin Hood', 'Captain Blood', 'Mildred Pierce']"
Top Gun: Maverick,2022,8.5,https://www.imdb.com//title/tt1745960/,2h 10m,Action,Joseph Kosinski,https://www.imdb.com/name/nm2676052/?ref_=tt_ov_dr,"['Only the Brave', 'Oblivion', 'Tron']"
Whiplash,2014,8.5,https://www.imdb.com//title/tt2582802/,1h 46m,Drama,Damien Chazelle,https://www.imdb.com/name/nm3227090/?ref_=tt_ov_dr,"['Whiplash', 'First Man', '10 Cloverfield Lane']"
The Intouchables,2011,8.5,https://www.imdb.com//title/tt1675434/,1h 52m,Biography,Olivier Nakache,https://www.imdb.com/name/nm0619923/?ref_=tt_ov_dr,"['Le sens de la fête', 'Hors normes', 'Tellement proches']"
Modern Times,1936,8.4,https://www.imdb.com//title/tt0027977/,1h 27m,Comedy,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_ov_dr,"['Modern Times', 'Limelight', 'The Circus']"
Seppuku,1962,8.4,https://www.imdb.com//title/tt0056058/,2h 13m,Action,Masaki Kobayashi,https://www.imdb.com/name/nm0462030/?ref_=tt_ov_dr,"['Jôi-uchi: Hairyô tsuma shimatsu', 'Ningen no jôken', 'Ningen no jôken']"
Once Upon a Time in the West,1968,8.4,https://www.imdb.com//title/tt0064116/,2h 45m,Western,Sergio Leone,https://www.imdb.com/name/nm0001466/?ref_=tt_ov_dr,"['Giù la testa', 'Il buono, il brutto, il cattivo', 'Per un pugno di dollari']"
Hotaru no haka,1988,8.4,https://www.imdb.com//title/tt0095327/,1h 29m,Animation,Isao Takahata,https://www.imdb.com/name/nm0847223/?ref_=tt_ov_dr,"['Kaguya-hime no monogatari', 'Omohide poro poro', 'Heisei tanuki gassen ponpoko']"
Rear Window,1954,8.4,https://www.imdb.com//title/tt0047396/,1h 52m,Mystery,Alfred Hitchcock,https://www.imdb.com/name/nm0000033/?ref_=tt_ov_dr,"['North by Northwest', 'Vertigo', 'The Birds']"
Alien,1979,8.4,https://www.imdb.com//title/tt0078748/,1h 57m,Horror,Ridley Scott,https://www.imdb.com/name/nm0000631/?ref_=tt_ov_dr,"['Blade Runner', 'Thelma & Louise', 'Gladiator']"
City Lights,1931,8.4,https://www.imdb.com//title/tt0021749/,1h 27m,Comedy,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_ov_dr,"['Modern Times', 'Limelight', 'The Circus']"
Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com//title/tt0095765/,2h 35m,Drama,Giuseppe Tornatore,https://www.imdb.com/name/nm0868153/?ref_=tt_ov_dr,"['Nuovo Cinema Paradiso', ""La leggenda del pianista sull'oceano"", 'Malèna']"
Memento,2000,8.4,https://www.imdb.com//title/tt0209144/,1h 53m,Mystery,Christopher Nolan,https://www.imdb.com/name/nm0634240/?ref_=tt_ov_dr,"['Inception', 'Interstellar', 'Dunkirk']"
