movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
Snatch,2000,8.2,https://www.imdb.com//title/tt0208092/,1h 44m,Comedy,Guy Ritchie,https://www.imdb.com/name/nm0005363/?ref_=tt_ov_dr,"['Lock, Stock and Two Smoking Barrels', 'Snatch', 'Aladdin']"
Die Hard,1988,8.2,https://www.imdb.com//title/tt0095016/,2h 12m,Action,John McTiernan,https://www.imdb.com/name/nm0001532/?ref_=tt_ov_dr,"['Rollerball', 'Last Action Hero', 'Predator']"
Incendies,2010,8.2,https://www.imdb.com//title/tt1255953/,2h 11m,Drama,Denis Villeneuve,https://www.imdb.com/name/nm0898288/?ref_=tt_ov_dr,"['Blade Runner 2049', 'Incendies', 'Arrival']"
Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com//title/tt0097576/,2h 7m,Action,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,"['E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"
Ladri di biciclette,1948,8.2,https://www.imdb.com//title/tt0040522/,1h 29m,Drama,Vittorio De Sica,https://www.imdb.com/name/nm0001120/?ref_=tt_ov_dr,"[""L'oro di Napoli"", 'Umberto D.', 'Il generale Della Rovere']"
Spider-Man: No Way Home,2021,8.2,https://www.imdb.com//title/tt10872600/,2h 28m,Action,Jon Watts,https://www.imdb.com/name/nm1218281/?ref_=tt_ov_dr,"['Spider-Man: Homecoming', 'The Onion News Network', 'Sexy Beast']"
1917,2019,8.2,https://www.imdb.com//title/tt8579674/,1h 59m,Action,Sam Mendes,https://www.imdb.com/name/nm0005222/?ref_=tt_ov_dr,"['Road to Perdition', 'Skyfall', 'Revolutionary Road']"
Taare Zameen Par,2007,8.2,https://www.imdb.com//title/tt0986264/,2h 45m,Drama,Aamir Khan,https://www.imdb.com/name/nm0451148/?ref_=tt_ov_dr,"['Lagaan: Once Upon a Time in India', '3 Idiots', 'Dangal']"
Der Untergang,2004,8.2,https://www.imdb.com//title/tt0363163/,2h 36m,Biography,Oliver Hirschbiegel,https://www.imdb.com/name/nm0386570/?ref_=tt_ov_dr,"['Der Untergang', 'The Invasion', 'Five Minutes of Heaven']"
Per qualche dollaro in più,1965,8.2,https://www.imdb.com//title/tt0059578/,2h 12m,Western,Sergio Leone,https://www.imdb.com/name/nm0001466/?ref_=tt_ov_dr,"['Giù la testa', 'Il buono, il brutto, il cattivo', 'Per un pugno di dollari']"
Batman Begins,2005,8.2,https://www.imdb.com//title/tt0372784/,2h 20m,Action,Christopher Nolan,https://www.imdb.com/name/nm0634240/?ref_=tt_ov_dr,"['Inception', 'Interstellar', 'Dunkirk']"
Dangal,2016,8.2,https://www.imdb.com//title/tt5074352/,2h 41m,Action,Nitesh Tiwari,https://www.imdb.com/name/nm4318159/?ref_=tt_ov_dr,"['Chhichhore', 'Bareilly Ki Barfi', 'Chillar Party']"
The Kid,1921,8.2,https://www.imdb.com//title/tt0012349/,1h 8m,Comedy,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_ov_dr,"['Modern Times', 'Limelight', 'The Circus']"
Some Like It Hot,1959,8.2,https://www.imdb.com//title/tt0053291/,2h 1m,Comedy,Billy Wilder,https://www.imdb.com/name/nm0000697/?ref_=tt_ov_dr,"['Some Like It Hot', 'Sabrina', 'Sunset Blvd.']"
Everything Everywhere All at Once,2022,8.2,https://www.imdb.com//title/tt6710474/,2h 19m,Action,Dan Kwan,https://www.imdb.com/name/nm3453283/?ref_=tt_ov_dr,"['Everything Everywhere All at Once', 'DJ Snake and Lil Jon: Turn Down for What', 'Omniboat: A Fast Boat Fantasia']"
The Father,2020,8.2,https://www.imdb.com//title/tt10272386/,1h 37m,Drama,Florian Zeller,https://www.imdb.com/name/nm1725469/?ref_=tt_ov_dr,['The Son']
All About Eve,1950,8.2,https://www.imdb.com//title/tt0042192/,2h 18m,Drama,Joseph L. Mankiewicz,https://www.imdb.com/name/nm0000581/?ref_=tt_ov_dr,"['Cleopatra', 'A Letter to Three Wives', 'Sleuth']"
Green Book,2018,8.2,https://www.imdb.com//title/tt6966692/,2h 10m,Biography,Peter Farrelly,https://www.imdb.com/name/nm0268380/?ref_=tt_ov_dr,"[""There's Something About Mary"", 'Dumb and Dumber', 'Osmosis Jones']"
The Wolf of Wall Street,2013,8.2,https://www.imdb.com//title/tt0993846/,3h,Biography,Martin Scorsese,https://www.imdb.com/name/nm0000217/?ref_=tt_ov_dr,"['Mean Streets', 'Goodfellas', 'The Age of Innocence']"
Judgment at Nuremberg,1961,8.2,https://www.imdb.com//title/tt0055031/,2h 59m,Drama,Stanley Kramer,https://www.imdb.com/name/nm0006452/?ref_=tt_ov_dr,"[""Guess Who's Coming to Dinner"", 'Inherit the Wind', 'The Defiant Ones']"
Unforgiven,1992,8.2,https://www.imdb.com//title/tt0105695/,2h 10m,Drama,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_ov_dr,"['Million Dollar Baby', 'Unforgiven', 'The Bridges of Madison County']"
Casino,1995,8.2,https://www.imdb.com//title/tt0112641/,2h 58m,Crime,Martin Scorsese,https://www.imdb.com/name/nm0000217/?ref_=tt_ov_dr,"['Mean Streets', 'Goodfellas', 'The Age of Innocence']"
Ran,1985,8.2,https://www.imdb.com//title/tt0089881/,2h 42m,Action,Akira Kurosawa,https://www.imdb.com/name/nm0000041/?ref_=tt_ov_dr,"['Kagemusha', 'Ran', 'Tengoku to jigoku']"
Pan's Labyrinth,2006,8.2,https://www.imdb.com//title/tt0457430/,1h 58m,Drama,Guillermo del Toro,https://www.imdb.com/name/nm0868219/?ref_=tt_ov_dr,"['Hellboy', 'El espinazo del diablo', 'Nightmare Alley']"
There Will Be Blood,2007,8.2,https://www.imdb.com//title/tt0469494/,2h 38m,Drama,Paul Thomas Anderson,https://www.imdb.com/name/nm0000759/?ref_=tt_ov_dr,"['There Will Be Blood', 'Licorice Pizza', 'Boogie Nights']"
The Sixth Sense,1999,8.2,https://www.imdb.com//title/tt0167404/,1h 47m,Drama,M. Night Shyamalan,https://www.imdb.com/name/nm0796117/?ref_=tt_ov_dr,"['Signs', 'The Village', 'The Sixth Sense']"
A Beautiful Mind,2001,8.2,https://www.imdb.com//title/tt0268978/,2h 15m,Biography,Ron Howard,https://www.imdb.com/name/nm0000165/?ref_=tt_ov_dr,"['A Beautiful Mind', 'Apollo 13', 'American Graffiti']"
Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com//title/tt0071853/,1h 31m,Adventure,Terry Gilliam,https://www.imdb.com/name/nm0000416/?ref_=tt_ov_dr,"['Monty Python and the Holy Grail', 'The Meaning of Life', 'The Imaginarium of Doctor Parnassus']"
The Truman Show,1998,8.2,https://www.imdb.com//title/tt0120382/,1h 43m,Comedy,Peter Weir,https://www.imdb.com/name/nm0001837/?ref_=tt_ov_dr,"['The Way Back', 'Witness', 'Dead Poets Society']"
Yôjinbô,1961,8.1,https://www.imdb.com//title/tt0055630/,1h 50m,Action,Akira Kurosawa,https://www.imdb.com/name/nm0000041/?ref_=tt_ov_dr,"['Kagemusha', 'Ran', 'Tengoku to jigoku']"
The Treasure of the Sierra Madre,1948,8.1,https://www.imdb.com//title/tt0040897/,2h 6m,Adventure,John Huston,https://www.imdb.com/name/nm0001379/?ref_=tt_ov_dr,"['Chinatown', 'The Asphalt Jungle', 'The African Queen']"
Shutter Island,2010,8.1,https://www.imdb.com//title/tt1130884/,2h 18m,Mystery,Martin Scorsese,https://www.imdb.com/name/nm0000217/?ref_=tt_ov_dr,"['Mean Streets', 'Goodfellas', 'The Age of Innocence']"
Rashômon,1950,8.1,https://www.imdb.com//title/tt0042876/,1h 28m,Crime,Akira Kurosawa,https://www.imdb.com/name/nm0000041/?ref_=tt_ov_dr,"['Kagemusha', 'Ran', 'Tengoku to jigoku']"
The Great Escape,1963,8.1,https://www.imdb.com//title/tt0057115/,2h 52m,Adventure,John Sturges,https://www.imdb.com/name/nm0836328/?ref_=tt_ov_dr,"['The Magnificent Seven', 'Bad Day at Black Rock', 'Gunfight at the O.K. Corral']"
Jurassic Park,1993,8.1,https://www.imdb.com//title/tt0107290/,2h 7m,Action,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,"['E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"
Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com//title/tt0266697/,1h 51m,Action,Quentin Tarantino,https://www.imdb.com/name/nm0000233/?ref_=tt_ov_dr,"['Pulp Fiction', 'Once Upon a Time in... Hollywood', 'The Hateful Eight']"
No Country for Old Men,2007,8.1,https://www.imdb.com//title/tt0477348/,2h 2m,Crime,Ethan Coen,https://www.imdb.com/name/nm0001053/?ref_=tt_ov_dr,"['Inside Llewyn Davis', 'A Serious Man', 'Fargo']"
Finding Nemo,2003,8.1,https://www.imdb.com//title/tt0266543/,1h 40m,Animation,Andrew Stanton,https://www.imdb.com/name/nm0004056/?ref_=tt_ov_dr,"['Finding Nemo', 'Finding Dory', 'Toy Story 2']"
The Elephant Man,1980,8.1,https://www.imdb.com//title/tt0080678/,2h 4m,Biography,David Lynch,https://www.imdb.com/name/nm0000186/?ref_=tt_ov_dr,"['Twin Peaks: Fire Walk with Me', 'Mulholland Dr.', 'Inland Empire']"
Raging Bull,1980,8.1,https://www.imdb.com//title/tt0081398/,2h 9m,Biography,Martin Scorsese,https://www.imdb.com/name/nm0000217/?ref_=tt_ov_dr,"['Mean Streets', 'Goodfellas', 'The Age of Innocence']"
Chinatown,1974,8.1,https://www.imdb.com//title/tt0071315/,2h 10m,Drama,Roman Polanski,https://www.imdb.com/name/nm0000591/?ref_=tt_ov_dr,"['Le locataire', 'The Ghost Writer', 'Carnage']"
Gone with the Wind,1939,8.1,https://www.imdb.com//title/tt0031381/,3h 58m,Drama,Victor Fleming,https://www.imdb.com/name/nm0281808/?ref_=tt_ov_dr,"['The Wizard of Oz', 'Test Pilot', 'A Guy Named Joe']"
V for Vendetta,2005,8.1,https://www.imdb.com//title/tt0434409/,2h 12m,Action,James McTeigue,https://www.imdb.com/name/nm0574625/?ref_=tt_ov_dr,"['The Raven', 'Ninja Assassin', 'Survivor']"
The Thing,1982,8.1,https://www.imdb.com//title/tt0084787/,1h 49m,Horror,John Carpenter,https://www.imdb.com/name/nm0000118/?ref_=tt_ov_dr,"['Halloween', 'Escape from New York', 'They Live']"
Inside Out,2015,8.1,https://www.imdb.com//title/tt2096673/,1h 35m,Animation,Pete Docter,https://www.imdb.com/name/nm0230032/?ref_=tt_ov_dr,"['Inside Out', 'Soul', 'Monsters, Inc.']"
"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com//title/tt0120735/,1h 47m,Action,Guy Ritchie,https://www.imdb.com/name/nm0005363/?ref_=tt_ov_dr,"['Lock, Stock and Two Smoking Barrels', 'Snatch', 'Aladdin']"
Dial M for Murder,1954,8.1,https://www.imdb.com//title/tt0046912/,1h 45m,Crime,Alfred Hitchcock,https://www.imdb.com/name/nm0000033/?ref_=tt_ov_dr,"['North by Northwest', 'Vertigo', 'The Birds']"
El secreto de sus ojos,2009,8.1,https://www.imdb.com//title/tt1305806/,2h 9m,Drama,Juan José Campanella,https://www.imdb.com/name/nm0002728/?ref_=tt_ov_dr,"['El hombre de tu vida', 'El cuento de las comadrejas', 'El mismo amor, la misma lluvia']"
The Bridge on the River Kwai,1957,8.1,https://www.imdb.com//title/tt0050212/,2h 41m,Adventure,David Lean,https://www.imdb.com/name/nm0000180/?ref_=tt_ov_dr,"['The Bridge on the River Kwai', 'Doctor Zhivago', 'A Passage to India']"
Hauru no ugoku shiro,2004,8.1,https://www.imdb.com//title/tt0347149/,1h 59m,Animation,Hayao Miyazaki,https://www.imdb.com/name/nm0594503/?ref_=tt_ov_dr,"['Tonari no Totoro', 'Hauru no ugoku shiro', 'Mononoke-hime']"
"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com//title/tt5027774/,1h 55m,Comedy,Martin McDonagh,https://www.imdb.com/name/nm1732981/?ref_=tt_ov_dr,"['Seven Psychopaths', 'Three Billboards Outside Ebbing, Missouri', 'Six Shooter']"
Trainspotting,1996,8.1,https://www.imdb.com//title/tt0117951/,1h 33m,Drama,Danny Boyle,https://www.imdb.com/name/nm0000965/?ref_=tt_ov_dr,"['28 Days Later...', 'Slumdog Millionaire', 'Shallow Grave']"
Gran Torino,2008,8.1,https://www.imdb.com//title/tt1205489/,1h 56m,Drama,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_ov_dr,"['Million Dollar Baby', 'Unforgiven', 'The Bridges of Madison County']"
Warrior,2011,8.1,https://www.imdb.com//title/tt1291584/,2h 20m,Action,Gavin O'Connor,https://www.imdb.com/name/nm0640334/?ref_=tt_ov_dr,"['Pride and Glory', 'Warrior', 'Tumbleweeds']"
Fargo,1996,8.1,https://www.imdb.com//title/tt0116282/,1h 38m,Crime,Joel Coen,https://www.imdb.com/name/nm0001054/?ref_=tt_ov_dr,"['The Tragedy of Macbeth', 'Inside Llewyn Davis', 'Fargo']"
Tonari no Totoro,1988,8.1,https://www.imdb.com//title/tt0096283/,1h 26m,Animation,Hayao Miyazaki,https://www.imdb.com/name/nm0594503/?ref_=tt_ov_dr,"['Tonari no Totoro', 'Hauru no ugoku shiro', 'Mononoke-hime']"
Prisoners,2013,8.1,https://www.imdb.com//title/tt1392214/,2h 33m,Crime,Denis Villeneuve,https://www.imdb.com/name/nm0898288/?ref_=tt_ov_dr,"['Blade Runner 2049', 'Incendies', 'Arrival']"
Million Dollar Baby,2004,8.1,https://www.imdb.com//title/tt0405159/,2h 12m,Drama,Clint Eastwood,https://www.imdb.com/name/nm0000142/?ref_=tt_ov_dr,"['Million Dollar Baby', 'Unforgiven', 'The Bridges of Madison County']"
The Gold Rush,1925,8.1,https://www.imdb.com//title/tt0015864/,1h 35m,Adventure,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_ov_dr,"['Modern Times', 'Limelight', 'The Circus']"
Blade Runner,1982,8.1,https://www.imdb.com//title/tt0083658/,1h 57m,Action,Ridley Scott,https://www.imdb.com/name/nm0000631/?ref_=tt_ov_dr,"['Blade Runner', 'Thelma & Louise', 'Gladiator']"
Catch Me If You Can,2002,8.1,https://www.imdb.com//title/tt0264464/,2h 21m,Biography,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,"['E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"
On the Waterfront,1954,8.1,https://www.imdb.com//title/tt0047296/,1h 48m,Crime,Elia Kazan,https://www.imdb.com/name/nm0001415/?ref_=tt_ov_dr,"['East of Eden', 'A Streetcar Named Desire', 'America America']"
The Third Man,1949,8.1,https://www.imdb.com//title/tt0041959/,1h 44m,Film-Noir,Carol Reed,https://www.imdb.com/name/nm0715346/?ref_=tt_ov_dr,"['Oliver!', 'The Fallen Idol', 'Odd Man Out']"
Bacheha-Ye aseman,1997,8.1,https://www.imdb.com//title/tt0118849/,1h 29m,Drama,Majid Majidi,https://www.imdb.com/name/nm0006498/?ref_=tt_ov_dr,"['Baran', 'Khorshid', 'Rang-e khoda']"
Ben-Hur,1959,8.1,https://www.imdb.com//title/tt0052618/,3h 32m,Adventure,William Wyler,https://www.imdb.com/name/nm0943758/?ref_=tt_ov_dr,"['Ben-Hur', 'Roman Holiday', 'The Big Country']"
12 Years a Slave,2013,8.1,https://www.imdb.com//title/tt2024544/,2h 14m,Biography,Steve McQueen,https://www.imdb.com/name/nm2588606/?ref_=tt_ov_dr,"['Shame', 'Hunger', 'Widows']"
The General,1926,8.1,https://www.imdb.com//title/tt0017925/,1h 7m,Action,Clyde Bruckman,https://www.imdb.com/name/nm0115669/?ref_=tt_ov_dr,"['Sherlock Jr.', 'Our Hospitality', 'Seven Chances']"
Gone Girl,2014,8.1,https://www.imdb.com//title/tt2267998/,2h 29m,Drama,David Fincher,https://www.imdb.com/name/nm0000399/?ref_=tt_ov_dr,"['Zodiac', 'Gone Girl', 'The Social Network']"
Smultronstället,1957,8.1,https://www.imdb.com//title/tt0050986/,1h 31m,Drama,Ingmar Bergman,https://www.imdb.com/name/nm0000005/?ref_=tt_ov_dr,"['Smultronstället', 'Det sjunde inseglet', 'Fanny och Alexander']"
Before Sunrise,1995,8.1,https://www.imdb.com//title/tt0112471/,1h 41m,Drama,Richard Linklater,https://www.imdb.com/name/nm0000500/?ref_=tt_ov_dr,"['Before Midnight', 'Boyhood', 'A Scanner Darkly']"
The Deer Hunter,1978,8.1,https://www.imdb.com//title/tt0077416/,3h 3m,Drama,Michael Cimino,https://www.imdb.com/name/nm0001047/?ref_=tt_ov_dr,"['Silent Running', ""Heaven's Gate"", 'Year of the Dragon']"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com//title/tt1201607/,2h 10m,Adventure,David Yates,https://www.imdb.com/name/nm0946734/?ref_=tt_ov_dr,"['Harry Potter and the Order of the Phoenix', 'The Legend of Tarzan', 'Harry Potter and the Deathly Hallows: Part 1']"
In the Name of the Father,1993,8.1,https://www.imdb.com//title/tt0107207/,2h 13m,Biography,Jim Sheridan,https://www.imdb.com/name/nm0006487/?ref_=tt_ov_dr,"['In the Name of the Father', 'My Left Foot: The Story of Christy Brown', 'Brothers']"
The Grand Budapest Hotel,2014,8.1,https://www.imdb.com//title/tt2278388/,1h 39m,Adventure,Wes Anderson,https://www.imdb.com/name/nm0027572/?ref_=tt_ov_dr,"['The Royal Tenenbaums', 'The French Dispatch', 'Isle of Dogs']"
Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com//title/tt0031679/,2h 9m,Comedy,Frank Capra,https://www.imdb.com/name/nm0001008/?ref_=tt_ov_dr,"['It Happened One Night', ""You Can't Take It with You"", 'Mr. Smith Goes to Washington']"
Le salaire de la peur,1953,8.1,https://www.imdb.com//title/tt0046268/,2h 11m,Adventure,Henri-Georges Clouzot,https://www.imdb.com/name/nm0167241/?ref_=tt_ov_dr,"['Les diaboliques', 'Manon', 'Quai des Orfèvres']"
Barry Lyndon,1975,8.1,https://www.imdb.com//title/tt0072684/,3h 5m,Adventure,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
Sherlock Jr.,1924,8.1,https://www.imdb.com//title/tt0015324/,45m,Action,Buster Keaton,https://www.imdb.com/name/nm0000036/?ref_=tt_ov_dr,"['Sherlock Jr.', 'Steamboat Bill, Jr.', 'Seven Chances']"
Salinui chueok,2003,8.1,https://www.imdb.com//title/tt0353969/,2h 11m,Crime,Bong Joon Ho,https://www.imdb.com/name/nm0094435/?ref_=tt_ov_dr,"['Okja', 'Gisaengchung', 'Gwoemul']"
Room,2015,8.1,https://www.imdb.com//title/tt3170832/,1h 58m,Drama,Lenny Abrahamson,https://www.imdb.com/name/nm1049433/?ref_=tt_ov_dr,"['Frank', 'Normal People', 'Adam & Paul']"
Hacksaw Ridge,2016,8.1,https://www.imdb.com//title/tt2119532/,2h 19m,Biography,Mel Gibson,https://www.imdb.com/name/nm0000154/?ref_=tt_ov_dr,"['Lethal Weapon 3', 'Conspiracy Theory', 'Ransom']"
Klaus,2019,8.1,https://www.imdb.com//title/tt4729430/,1h 36m,Animation,Sergio Pablos,https://www.imdb.com/name/nm0655053/?ref_=tt_ov_dr,"['Despicable Me', 'Treasure Planet', 'Rio']"
Det sjunde inseglet,1957,8.1,https://www.imdb.com//title/tt0050976/,1h 36m,Drama,Ingmar Bergman,https://www.imdb.com/name/nm0000005/?ref_=tt_ov_dr,"['Smultronstället', 'Det sjunde inseglet', 'Fanny och Alexander']"
Relatos salvajes,2014,8.1,https://www.imdb.com//title/tt3011894/,2h 2m,Comedy,Damián Szifron,https://www.imdb.com/name/nm1167933/?ref_=tt_ov_dr,"['Los simuladores', 'El fondo del mar', 'Tiempo de valientes']"
The Big Lebowski,1998,8.1,https://www.imdb.com//title/tt0118715/,1h 57m,Comedy,Joel Coen,https://www.imdb.com/name/nm0001054/?ref_=tt_ov_dr,"['The Tragedy of Macbeth', 'Inside Llewyn Davis', 'Fargo']"
How to Train Your Dragon,2010,8.1,https://www.imdb.com//title/tt0892769/,1h 38m,Animation,Dean DeBlois,https://www.imdb.com/name/nm0213450/?ref_=tt_ov_dr,"['How to Train Your Dragon 2', 'Lilo & Stitch', 'How to Train Your Dragon: The Hidden World']"
Mad Max: Fury Road,2015,8.1,https://www.imdb.com//title/tt1392190/,2h,Action,George Miller,https://www.imdb.com/name/nm0004306/?ref_=tt_ov_dr,"['Mad Max 2', 'Happy Feet', 'Mad Max']"
Mary and Max.,2009,8.1,https://www.imdb.com//title/tt0978762/,1h 32m,Animation,Adam Elliot,https://www.imdb.com/name/nm0254178/?ref_=tt_ov_dr,"['Harvie Krumpet', 'Brother', 'Cousin']"
"Monsters, Inc.",2001,8.1,https://www.imdb.com//title/tt0198781/,1h 32m,Animation,Pete Docter,https://www.imdb.com/name/nm0230032/?ref_=tt_ov_dr,"['Inside Out', 'Soul', 'Monsters, Inc.']"
Jaws,1975,8.1,https://www.imdb.com//title/tt0073195/,2h 4m,Adventure,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,"['E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"
La passion de Jeanne d'Arc,1928,8.1,https://www.imdb.com//title/tt0019254/,1h 50m,Biography,Carl Theodor Dreyer,https://www.imdb.com/name/nm0003433/?ref_=tt_ov_dr,"['Gertrud', 'Ordet', 'Landsbykirken']"
Hotel Rwanda,2004,8.1,https://www.imdb.com//title/tt0395169/,2h 1m,Biography,Terry George,https://www.imdb.com/name/nm0313623/?ref_=tt_ov_dr,"['In the Name of the Father', ""Some Mother's Son"", 'The Promise']"
Dead Poets Society,1989,8.1,https://www.imdb.com//title/tt0097165/,2h 8m,Comedy,Peter Weir,https://www.imdb.com/name/nm0001837/?ref_=tt_ov_dr,"['The Way Back', 'Witness', 'Dead Poets Society']"
Tôkyô monogatari,1953,8.1,https://www.imdb.com//title/tt0046438/,2h 16m,Drama,Yasujirô Ozu,https://www.imdb.com/name/nm0654868/?ref_=tt_ov_dr,"['Banshun', 'Early Summer', 'Otona no miru ehon - Umarete wa mita keredo']"
Pather Panchali,1955,8.1,https://www.imdb.com//title/tt0048473/,2h 5m,Drama,Satyajit Ray,https://www.imdb.com/name/nm0006249/?ref_=tt_ov_dr,"['Nayak', 'Apur Sansar', 'Aparajito']"
Platoon,1986,8.0,https://www.imdb.com//title/tt0091763/,2h,Drama,Oliver Stone,https://www.imdb.com/name/nm0000231/?ref_=tt_ov_dr,"['Platoon', 'Natural Born Killers', 'Born on the Fourth of July']"
Rocky,1976,8.0,https://www.imdb.com//title/tt0075148/,2h,Drama,John G. Avildsen,https://www.imdb.com/name/nm0000814/?ref_=tt_ov_dr,"['The Karate Kid Part III', 'Rocky V', 'The Karate Kid']"
Ford v Ferrari,2019,8.0,https://www.imdb.com//title/tt1950186/,2h 32m,Action,James Mangold,https://www.imdb.com/name/nm0003506/?ref_=tt_ov_dr,"['Ford v Ferrari', 'Walk the Line', 'Heavy']"
Stand by Me,1986,8.0,https://www.imdb.com//title/tt0092005/,1h 29m,Adventure,Rob Reiner,https://www.imdb.com/name/nm0001661/?ref_=tt_ov_dr,"['This Is Spinal Tap', 'The Wolf of Wall Street', 'The Story of Us']"
The Terminator,1984,8.0,https://www.imdb.com//title/tt0088247/,1h 47m,Action,James Cameron,https://www.imdb.com/name/nm0000116/?ref_=tt_ov_dr,"['Titanic', 'Terminator 2: Judgment Day', 'Aliens']"
Spotlight,2015,8.0,https://www.imdb.com//title/tt1895587/,2h 9m,Biography,Tom McCarthy,https://www.imdb.com/name/nm0565336/?ref_=tt_ov_dr,"['The Station Agent', 'The Visitor', 'Spotlight']"
Rush,2013,8.0,https://www.imdb.com//title/tt1979320/,2h 3m,Action,Ron Howard,https://www.imdb.com/name/nm0000165/?ref_=tt_ov_dr,"['A Beautiful Mind', 'Apollo 13', 'American Graffiti']"
Into the Wild,2007,8.0,https://www.imdb.com//title/tt0758758/,2h 28m,Adventure,Sean Penn,https://www.imdb.com/name/nm0000576/?ref_=tt_ov_dr,"['21 Grams', 'Milk', 'Dead Man Walking']"
Network,1976,8.0,https://www.imdb.com//title/tt0074958/,2h 1m,Drama,Sidney Lumet,https://www.imdb.com/name/nm0001486/?ref_=tt_ov_dr,"[""Before the Devil Knows You're Dead"", 'Dog Day Afternoon', 'Serpico']"
The Wizard of Oz,1939,8.0,https://www.imdb.com//title/tt0032138/,1h 42m,Adventure,Victor Fleming,https://www.imdb.com/name/nm0281808/?ref_=tt_ov_dr,"['The Wizard of Oz', 'Test Pilot', 'A Guy Named Joe']"
Logan,2017,8.0,https://www.imdb.com//title/tt3315342/,2h 17m,Action,James Mangold,https://www.imdb.com/name/nm0003506/?ref_=tt_ov_dr,"['Ford v Ferrari', 'Walk the Line', 'Heavy']"
Groundhog Day,1993,8.0,https://www.imdb.com//title/tt0107048/,1h 41m,Comedy,Harold Ramis,https://www.imdb.com/name/nm0000601/?ref_=tt_ov_dr,"['Groundhog Day', 'Stripes', 'Knocked Up']"
Ratatouille,2007,8.0,https://www.imdb.com//title/tt0382932/,1h 51m,Animation,Brad Bird,https://www.imdb.com/name/nm0083348/?ref_=tt_ov_dr,"['Ratatouille', 'Incredibles 2', 'The Iron Giant']"
The Exorcist,1973,8.0,https://www.imdb.com//title/tt0070047/,2h 2m,Horror,William Friedkin,https://www.imdb.com/name/nm0001243/?ref_=tt_ov_dr,"['To Live and Die in L.A.', 'The Exorcist', 'Killer Joe']"
Before Sunset,2004,8.0,https://www.imdb.com//title/tt0381681/,1h 20m,Drama,Richard Linklater,https://www.imdb.com/name/nm0000500/?ref_=tt_ov_dr,"['Before Midnight', 'Boyhood', 'A Scanner Darkly']"
The Best Years of Our Lives,1946,8.0,https://www.imdb.com//title/tt0036868/,2h 50m,Drama,William Wyler,https://www.imdb.com/name/nm0943758/?ref_=tt_ov_dr,"['Ben-Hur', 'Roman Holiday', 'The Big Country']"
The Incredibles,2004,8.0,https://www.imdb.com//title/tt0317705/,1h 55m,Animation,Brad Bird,https://www.imdb.com/name/nm0083348/?ref_=tt_ov_dr,"['Ratatouille', 'Incredibles 2', 'The Iron Giant']"
To Be or Not to Be,1942,8.0,https://www.imdb.com//title/tt0035446/,1h 39m,Comedy,Ernst Lubitsch,https://www.imdb.com/name/nm0523932/?ref_=tt_ov_dr,"['The Shop Around the Corner', 'Heaven Can Wait', 'Ninotchka']"
Rebecca,1940,8.0,https://www.imdb.com//title/tt0032976/,2h 10m,Drama,Alfred Hitchcock,https://www.imdb.com/name/nm0000033/?ref_=tt_ov_dr,"['North by Northwest', 'Vertigo', 'The Birds']"
The Grapes of Wrath,1940,8.0,https://www.imdb.com//title/tt0032551/,2h 9m,Drama,John Ford,https://www.imdb.com/name/nm0000406/?ref_=tt_ov_dr,"['The Grapes of Wrath', 'Stagecoach', 'The Man Who Shot Liberty Valance']"
La battaglia di Algeri,1966,8.0,https://www.imdb.com//title/tt0058946/,2h 1m,Drama,Gillo Pontecorvo,https://www.imdb.com/name/nm0690597/?ref_=tt_ov_dr,"['Ogro', 'Kapò', 'Queimada']"
Hachi: A Dog's Tale,2009,8.0,https://www.imdb.com//title/tt1028532/,1h 33m,Biography,Lasse Hallström,https://www.imdb.com/name/nm0002120/?ref_=tt_ov_dr,"['Chocolat', 'Dear John', 'Mitt liv som hund']"
