movies,years,ratings,links,times,genre
Joker,2019,8.3,https://www.imdb.com//title/tt7286456/,2h 2m,Crime
Oldeuboi,2003,8.3,https://www.imdb.com//title/tt0364569/,2h,Action
Braveheart,1995,8.3,https://www.imdb.com//title/tt0112573/,2h 58m,Biography
Amadeus,1984,8.3,https://www.imdb.com//title/tt0086879/,2h 40m,Biography
Toy Story,1995,8.3,https://www.imdb.com//title/tt0114709/,1h 21m,Animation
Coco,2017,8.3,https://www.imdb.com//title/tt2380307/,1h 45m,Animation
Das Boot,1981,8.3,https://www.imdb.com//title/tt0082096/,2h 29m,Drama
Inglourious Basterds,2009,8.3,https://www.imdb.com//title/tt0361748/,2h 33m,Adventure
Mononoke-hime,1997,8.3,https://www.imdb.com//title/tt0119698/,2h 14m,Animation
Avengers: Endgame,2019,8.3,https://www.imdb.com//title/tt4154796/,3h 1m,Action
Once Upon a Time in America,1984,8.3,https://www.imdb.com//title/tt0087843/,3h 49m,Crime
Good Will Hunting,1997,8.3,https://www.imdb.com//title/tt0119217/,2h 6m,Drama
Requiem for a Dream,2000,8.3,https://www.imdb.com//title/tt0180093/,1h 42m,Drama
Toy Story 3,2010,8.3,https://www.imdb.com//title/tt0435761/,1h 43m,Animation
Kimi no na wa.,2016,8.3,https://www.imdb.com//title/tt5311514/,1h 46m,Animation
Singin' in the Rain,1952,8.3,https://www.imdb.com//title/tt0045152/,1h 43m,Comedy
3 Idiots,2009,8.3,https://www.imdb.com//title/tt1187043/,2h 50m,Comedy
Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com//title/tt0086190/,2h 11m,Action
2001: A Space Odyssey,1968,8.3,https://www.imdb.com//title/tt0062622/,2h 29m,Adventure
Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com//title/tt0338013/,1h 48m,Drama
Reservoir Dogs,1992,8.3,https://www.imdb.com//title/tt0105236/,1h 39m,Crime
Tengoku to jigoku,1963,8.3,https://www.imdb.com//title/tt0057565/,2h 23m,Crime
Capharnaüm,2018,8.3,https://www.imdb.com//title/tt8267604/,2h 6m,Drama
Citizen Kane,1941,8.3,https://www.imdb.com//title/tt0033467/,1h 59m,Drama
Lawrence of Arabia,1962,8.3,https://www.imdb.com//title/tt0056172/,3h 38m,Adventure
Jagten,2012,8.3,https://www.imdb.com//title/tt2106476/,1h 55m,Drama
North by Northwest,1959,8.3,https://www.imdb.com//title/tt0053125/,2h 16m,Action
M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com//title/tt0022100/,1h 57m,Crime
Vertigo,1958,8.2,https://www.imdb.com//title/tt0052357/,2h 8m,Mystery
Le fabuleux destin d'Amélie Poulain,2001,8.2,https://www.imdb.com//title/tt0211915/,2h 2m,Comedy
A Clockwork Orange,1971,8.2,https://www.imdb.com//title/tt0066921/,2h 16m,Crime
Idi i smotri,1985,8.2,https://www.imdb.com//title/tt0091251/,2h 22m,Drama
Full Metal Jacket,1987,8.2,https://www.imdb.com//title/tt0093058/,1h 56m,Drama
Double Indemnity,1944,8.2,https://www.imdb.com//title/tt0036775/,1h 47m,Crime
The Apartment,1960,8.2,https://www.imdb.com//title/tt0053604/,2h 5m,Comedy
Scarface,1983,8.2,https://www.imdb.com//title/tt0086250/,2h 50m,Crime
Ikiru,1952,8.2,https://www.imdb.com//title/tt0044741/,2h 23m,Drama
The Sting,1973,8.2,https://www.imdb.com//title/tt0070735/,2h 9m,Comedy
To Kill a Mockingbird,1962,8.2,https://www.imdb.com//title/tt0056592/,2h 9m,Crime
Taxi Driver,1976,8.2,https://www.imdb.com//title/tt0075314/,1h 54m,Crime
L.A. Confidential,1997,8.2,https://www.imdb.com//title/tt0119488/,2h 18m,Crime
Up,2009,8.2,https://www.imdb.com//title/tt1049413/,1h 36m,Animation
Heat,1995,8.2,https://www.imdb.com//title/tt0113277/,2h 50m,Action
Hamilton,2020,8.2,https://www.imdb.com//title/tt8503618/,2h 40m,Biography
Metropolis,1927,8.2,https://www.imdb.com//title/tt0017136/,2h 33m,Drama
Jodaeiye Nader az Simin,2011,8.2,https://www.imdb.com//title/tt1832382/,2h 3m,Drama
Snatch,2000,8.2,https://www.imdb.com//title/tt0208092/,1h 44m,Comedy
Die Hard,1988,8.2,https://www.imdb.com//title/tt0095016/,2h 12m,Action
Incendies,2010,8.2,https://www.imdb.com//title/tt1255953/,2h 11m,Drama
Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com//title/tt0097576/,2h 7m,Action
Ladri di biciclette,1948,8.2,https://www.imdb.com//title/tt0040522/,1h 29m,Drama
Spider-Man: No Way Home,2021,8.2,https://www.imdb.com//title/tt10872600/,2h 28m,Action
1917,2019,8.2,https://www.imdb.com//title/tt8579674/,1h 59m,Action
Taare Zameen Par,2007,8.2,https://www.imdb.com//title/tt0986264/,2h 45m,Drama
Der Untergang,2004,8.2,https://www.imdb.com//title/tt0363163/,2h 36m,Biography
Per qualche dollaro in più,1965,8.2,https://www.imdb.com//title/tt0059578/,2h 12m,Western
Batman Begins,2005,8.2,https://www.imdb.com//title/tt0372784/,2h 20m,Action
Dangal,2016,8.2,https://www.imdb.com//title/tt5074352/,2h 41m,Action
The Kid,1921,8.2,https://www.imdb.com//title/tt0012349/,1h 8m,Comedy
Some Like It Hot,1959,8.2,https://www.imdb.com//title/tt0053291/,2h 1m,Comedy
Everything Everywhere All at Once,2022,8.2,https://www.imdb.com//title/tt6710474/,2h 19m,Action
The Father,2020,8.2,https://www.imdb.com//title/tt10272386/,1h 37m,Drama
All About Eve,1950,8.2,https://www.imdb.com//title/tt0042192/,2h 18m,Drama
Green Book,2018,8.2,https://www.imdb.com//title/tt6966692/,2h 10m,Biography
The Wolf of Wall Street,2013,8.2,https://www.imdb.com//title/tt0993846/,3h,Biography
Judgment at Nuremberg,1961,8.2,https://www.imdb.com//title/tt0055031/,2h 59m,Drama
Unforgiven,1992,8.2,https://www.imdb.com//title/tt0105695/,2h 10m,Drama
Casino,1995,8.2,https://www.imdb.com//title/tt0112641/,2h 58m,Crime
Ran,1985,8.2,https://www.imdb.com//title/tt0089881/,2h 42m,Action
Pan's Labyrinth,2006,8.2,https://www.imdb.com//title/tt0457430/,1h 58m,Drama
There Will Be Blood,2007,8.2,https://www.imdb.com//title/tt0469494/,2h 38m,Drama
The Sixth Sense,1999,8.2,https://www.imdb.com//title/tt0167404/,1h 47m,Drama
A Beautiful Mind,2001,8.2,https://www.imdb.com//title/tt0268978/,2h 15m,Biography
Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com//title/tt0071853/,1h 31m,Adventure
The Truman Show,1998,8.2,https://www.imdb.com//title/tt0120382/,1h 43m,Comedy
Yôjinbô,1961,8.1,https://www.imdb.com//title/tt0055630/,1h 50m,Action
The Treasure of the Sierra Madre,1948,8.1,https://www.imdb.com//title/tt0040897/,2h 6m,Adventure
Shutter Island,2010,8.1,https://www.imdb.com//title/tt1130884/,2h 18m,Mystery
Rashômon,1950,8.1,https://www.imdb.com//title/tt0042876/,1h 28m,Crime
The Great Escape,1963,8.1,https://www.imdb.com//title/tt0057115/,2h 52m,Adventure
Jurassic Park,1993,8.1,https://www.imdb.com//title/tt0107290/,2h 7m,Action
Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com//title/tt0266697/,1h 51m,Action
No Country for Old Men,2007,8.1,https://www.imdb.com//title/tt0477348/,2h 2m,Crime
Finding Nemo,2003,8.1,https://www.imdb.com//title/tt0266543/,1h 40m,Animation
The Elephant Man,1980,8.1,https://www.imdb.com//title/tt0080678/,2h 4m,Biography
Raging Bull,1980,8.1,https://www.imdb.com//title/tt0081398/,2h 9m,Biography
Chinatown,1974,8.1,https://www.imdb.com//title/tt0071315/,2h 10m,Drama
Gone with the Wind,1939,8.1,https://www.imdb.com//title/tt0031381/,3h 58m,Drama
V for Vendetta,2005,8.1,https://www.imdb.com//title/tt0434409/,2h 12m,Action
The Thing,1982,8.1,https://www.imdb.com//title/tt0084787/,1h 49m,Horror
Inside Out,2015,8.1,https://www.imdb.com//title/tt2096673/,1h 35m,Animation
"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com//title/tt0120735/,1h 47m,Action
Dial M for Murder,1954,8.1,https://www.imdb.com//title/tt0046912/,1h 45m,Crime
El secreto de sus ojos,2009,8.1,https://www.imdb.com//title/tt1305806/,2h 9m,Drama
The Bridge on the River Kwai,1957,8.1,https://www.imdb.com//title/tt0050212/,2h 41m,Adventure
Hauru no ugoku shiro,2004,8.1,https://www.imdb.com//title/tt0347149/,1h 59m,Animation
"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com//title/tt5027774/,1h 55m,Comedy
Trainspotting,1996,8.1,https://www.imdb.com//title/tt0117951/,1h 33m,Drama
Gran Torino,2008,8.1,https://www.imdb.com//title/tt1205489/,1h 56m,Drama
Warrior,2011,8.1,https://www.imdb.com//title/tt1291584/,2h 20m,Action
Fargo,1996,8.1,https://www.imdb.com//title/tt0116282/,1h 38m,Crime
Tonari no Totoro,1988,8.1,https://www.imdb.com//title/tt0096283/,1h 26m,Animation
Prisoners,2013,8.1,https://www.imdb.com//title/tt1392214/,2h 33m,Crime
Million Dollar Baby,2004,8.1,https://www.imdb.com//title/tt0405159/,2h 12m,Drama
The Gold Rush,1925,8.1,https://www.imdb.com//title/tt0015864/,1h 35m,Adventure
Blade Runner,1982,8.1,https://www.imdb.com//title/tt0083658/,1h 57m,Action
Catch Me If You Can,2002,8.1,https://www.imdb.com//title/tt0264464/,2h 21m,Biography
On the Waterfront,1954,8.1,https://www.imdb.com//title/tt0047296/,1h 48m,Crime
The Third Man,1949,8.1,https://www.imdb.com//title/tt0041959/,1h 44m,Film-Noir
Bacheha-Ye aseman,1997,8.1,https://www.imdb.com//title/tt0118849/,1h 29m,Drama
Ben-Hur,1959,8.1,https://www.imdb.com//title/tt0052618/,3h 32m,Adventure
12 Years a Slave,2013,8.1,https://www.imdb.com//title/tt2024544/,2h 14m,Biography
The General,1926,8.1,https://www.imdb.com//title/tt0017925/,1h 7m,Action
Gone Girl,2014,8.1,https://www.imdb.com//title/tt2267998/,2h 29m,Drama
Smultronstället,1957,8.1,https://www.imdb.com//title/tt0050986/,1h 31m,Drama
Before Sunrise,1995,8.1,https://www.imdb.com//title/tt0112471/,1h 41m,Drama
The Deer Hunter,1978,8.1,https://www.imdb.com//title/tt0077416/,3h 3m,Drama
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com//title/tt1201607/,2h 10m,Adventure
In the Name of the Father,1993,8.1,https://www.imdb.com//title/tt0107207/,2h 13m,Biography
The Grand Budapest Hotel,2014,8.1,https://www.imdb.com//title/tt2278388/,1h 39m,Adventure
Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com//title/tt0031679/,2h 9m,Comedy
Le salaire de la peur,1953,8.1,https://www.imdb.com//title/tt0046268/,2h 11m,Adventure
Barry Lyndon,1975,8.1,https://www.imdb.com//title/tt0072684/,3h 5m,Adventure
Sherlock Jr.,1924,8.1,https://www.imdb.com//title/tt0015324/,45m,Action
Salinui chueok,2003,8.1,https://www.imdb.com//title/tt0353969/,2h 11m,Crime
Room,2015,8.1,https://www.imdb.com//title/tt3170832/,1h 58m,Drama
Hacksaw Ridge,2016,8.1,https://www.imdb.com//title/tt2119532/,2h 19m,Biography
Klaus,2019,8.1,https://www.imdb.com//title/tt4729430/,1h 36m,Animation
Det sjunde inseglet,1957,8.1,https://www.imdb.com//title/tt0050976/,1h 36m,Drama
Relatos salvajes,2014,8.1,https://www.imdb.com//title/tt3011894/,2h 2m,Comedy
The Big Lebowski,1998,8.1,https://www.imdb.com//title/tt0118715/,1h 57m,Comedy
How to Train Your Dragon,2010,8.1,https://www.imdb.com//title/tt0892769/,1h 38m,Animation
Mad Max: Fury Road,2015,8.1,https://www.imdb.com//title/tt1392190/,2h,Action
Mary and Max.,2009,8.1,https://www.imdb.com//title/tt0978762/,1h 32m,Animation
"Monsters, Inc.",2001,8.1,https://www.imdb.com//title/tt0198781/,1h 32m,Animation
Jaws,1975,8.1,https://www.imdb.com//title/tt0073195/,2h 4m,Adventure
La passion de Jeanne d'Arc,1928,8.1,https://www.imdb.com//title/tt0019254/,1h 50m,Biography
Hotel Rwanda,2004,8.1,https://www.imdb.com//title/tt0395169/,2h 1m,Biography
Dead Poets Society,1989,8.1,https://www.imdb.com//title/tt0097165/,2h 8m,Comedy
Tôkyô monogatari,1953,8.1,https://www.imdb.com//title/tt0046438/,2h 16m,Drama
Pather Panchali,1955,8.1,https://www.imdb.com//title/tt0048473/,2h 5m,Drama
Rocky,1976,8.0,https://www.imdb.com//title/tt0075148/,2h,Drama
Platoon,1986,8.0,https://www.imdb.com//title/tt0091763/,2h,Drama
Ford v Ferrari,2019,8.0,https://www.imdb.com//title/tt1950186/,2h 32m,Action
Stand by Me,1986,8.0,https://www.imdb.com//title/tt0092005/,1h 29m,Adventure
The Terminator,1984,8.0,https://www.imdb.com//title/tt0088247/,1h 47m,Action
Spotlight,2015,8.0,https://www.imdb.com//title/tt1895587/,2h 9m,Biography
Rush,2013,8.0,https://www.imdb.com//title/tt1979320/,2h 3m,Action
Into the Wild,2007,8.0,https://www.imdb.com//title/tt0758758/,2h 28m,Adventure
Network,1976,8.0,https://www.imdb.com//title/tt0074958/,2h 1m,Drama
The Wizard of Oz,1939,8.0,https://www.imdb.com//title/tt0032138/,1h 42m,Adventure
Logan,2017,8.0,https://www.imdb.com//title/tt3315342/,2h 17m,Action
Groundhog Day,1993,8.0,https://www.imdb.com//title/tt0107048/,1h 41m,Comedy
Ratatouille,2007,8.0,https://www.imdb.com//title/tt0382932/,1h 51m,Animation
The Exorcist,1973,8.0,https://www.imdb.com//title/tt0070047/,2h 2m,Horror
Before Sunset,2004,8.0,https://www.imdb.com//title/tt0381681/,1h 20m,Drama
The Best Years of Our Lives,1946,8.0,https://www.imdb.com//title/tt0036868/,2h 50m,Drama
The Incredibles,2004,8.0,https://www.imdb.com//title/tt0317705/,1h 55m,Animation
To Be or Not to Be,1942,8.0,https://www.imdb.com//title/tt0035446/,1h 39m,Comedy
Rebecca,1940,8.0,https://www.imdb.com//title/tt0032976/,2h 10m,Drama
The Grapes of Wrath,1940,8.0,https://www.imdb.com//title/tt0032551/,2h 9m,Drama
La battaglia di Algeri,1966,8.0,https://www.imdb.com//title/tt0058946/,2h 1m,Drama
Hachi: A Dog's Tale,2009,8.0,https://www.imdb.com//title/tt1028532/,1h 33m,Biography
Cool Hand Luke,1967,8.0,https://www.imdb.com//title/tt0061512/,2h 7m,Crime
Amores perros,2000,8.0,https://www.imdb.com//title/tt0245712/,2h 34m,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,https://www.imdb.com//title/tt0325980/,2h 23m,Action
Les quatre cents coups,1959,8.0,https://www.imdb.com//title/tt0053198/,1h 39m,Crime
La haine,1995,8.0,https://www.imdb.com//title/tt0113247/,1h 38m,Crime
Persona,1966,8.0,https://www.imdb.com//title/tt0060827/,1h 25m,Drama
Dersu Uzala,1975,8.0,https://www.imdb.com//title/tt0071411/,2h 22m,Adventure
Life of Brian,1979,8.0,https://www.imdb.com//title/tt0079470/,1h 34m,Comedy
Babam ve Oglum,2005,8.0,https://www.imdb.com//title/tt0476735/,1h 52m,Drama
It Happened One Night,1934,8.0,https://www.imdb.com//title/tt0025316/,1h 45m,Comedy
The Sound of Music,1965,8.0,https://www.imdb.com//title/tt0059742/,2h 52m,Biography
Ah-ga-ssi,2016,8.0,https://www.imdb.com//title/tt4016934/,2h 25m,Drama
Aladdin,1992,8.0,https://www.imdb.com//title/tt0103639/,1h 30m,Animation
Gandhi,1982,8.0,https://www.imdb.com//title/tt0083987/,3h 11m,Biography
Jai Bhim,2021,8.0,https://www.imdb.com//title/tt15097216/,2h 44m,Crime
The Help,2011,8.0,https://www.imdb.com//title/tt1454029/,2h 26m,Drama
Beauty and the Beast,1991,8.0,https://www.imdb.com//title/tt0101414/,1h 24m,Animation
