movies,years,ratings,links
Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com//title/tt0245429/
Psycho,1960,8.5,https://www.imdb.com//title/tt0054215/
The Pianist,2002,8.5,https://www.imdb.com//title/tt0253474/
Léon,1994,8.5,https://www.imdb.com//title/tt0110413/
Gisaengchung,2019,8.5,https://www.imdb.com//title/tt6751668/
The Lion King,1994,8.5,https://www.imdb.com//title/tt0110357/
Gladiator,2000,8.5,https://www.imdb.com//title/tt0172495/
American History X,1998,8.5,https://www.imdb.com//title/tt0120586/
The Usual Suspects,1995,8.5,https://www.imdb.com//title/tt0114814/
The Departed,2006,8.5,https://www.imdb.com//title/tt0407887/
The Prestige,2006,8.5,https://www.imdb.com//title/tt0482571/
Casablanca,1942,8.5,https://www.imdb.com//title/tt0034583/
Top Gun: Maverick,2022,8.5,https://www.imdb.com//title/tt1745960/
Whiplash,2014,8.5,https://www.imdb.com//title/tt2582802/
The Intouchables,2011,8.5,https://www.imdb.com//title/tt1675434/
Modern Times,1936,8.4,https://www.imdb.com//title/tt0027977/
Seppuku,1962,8.4,https://www.imdb.com//title/tt0056058/
Once Upon a Time in the West,1968,8.4,https://www.imdb.com//title/tt0064116/
Hotaru no haka,1988,8.4,https://www.imdb.com//title/tt0095327/
Rear Window,1954,8.4,https://www.imdb.com//title/tt0047396/
Alien,1979,8.4,https://www.imdb.com//title/tt0078748/
City Lights,1931,8.4,https://www.imdb.com//title/tt0021749/
Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com//title/tt0095765/
Memento,2000,8.4,https://www.imdb.com//title/tt0209144/
Apocalypse Now,1979,8.4,https://www.imdb.com//title/tt0078788/
Raiders of the Lost Ark,1981,8.4,https://www.imdb.com//title/tt0082971/
Django Unchained,2012,8.4,https://www.imdb.com//title/tt1853728/
WALL·E,2008,8.4,https://www.imdb.com//title/tt0910970/
The Lives of Others,2006,8.4,https://www.imdb.com//title/tt0405094/
Sunset Blvd.,1950,8.4,https://www.imdb.com//title/tt0043014/
Paths of Glory,1957,8.4,https://www.imdb.com//title/tt0050825/
The Shining,1980,8.4,https://www.imdb.com//title/tt0081505/
The Great Dictator,1940,8.4,https://www.imdb.com//title/tt0032553/
Witness for the Prosecution,1957,8.4,https://www.imdb.com//title/tt0051201/
Avengers: Infinity War,2018,8.4,https://www.imdb.com//title/tt4154756/
Aliens,1986,8.3,https://www.imdb.com//title/tt0090605/
American Beauty,1999,8.3,https://www.imdb.com//title/tt0169547/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com//title/tt0057012/
The Dark Knight Rises,2012,8.3,https://www.imdb.com//title/tt1345836/
Spider-Man: Into the Spider-Verse,2018,8.3,https://www.imdb.com//title/tt4633694/
Joker,2019,8.3,https://www.imdb.com//title/tt7286456/
Oldeuboi,2003,8.3,https://www.imdb.com//title/tt0364569/
Braveheart,1995,8.3,https://www.imdb.com//title/tt0112573/
Amadeus,1984,8.3,https://www.imdb.com//title/tt0086879/
Toy Story,1995,8.3,https://www.imdb.com//title/tt0114709/
Coco,2017,8.3,https://www.imdb.com//title/tt2380307/
Das Boot,1981,8.3,https://www.imdb.com//title/tt0082096/
Inglourious Basterds,2009,8.3,https://www.imdb.com//title/tt0361748/
Mononoke-hime,1997,8.3,https://www.imdb.com//title/tt0119698/
Avengers: Endgame,2019,8.3,https://www.imdb.com//title/tt4154796/
Once Upon a Time in America,1984,8.3,https://www.imdb.com//title/tt0087843/
Good Will Hunting,1997,8.3,https://www.imdb.com//title/tt0119217/
Requiem for a Dream,2000,8.3,https://www.imdb.com//title/tt0180093/
Toy Story 3,2010,8.3,https://www.imdb.com//title/tt0435761/
Kimi no na wa.,2016,8.3,https://www.imdb.com//title/tt5311514/
Singin' in the Rain,1952,8.3,https://www.imdb.com//title/tt0045152/
3 Idiots,2009,8.3,https://www.imdb.com//title/tt1187043/
Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com//title/tt0086190/
2001: A Space Odyssey,1968,8.3,https://www.imdb.com//title/tt0062622/
Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com//title/tt0338013/
Reservoir Dogs,1992,8.3,https://www.imdb.com//title/tt0105236/
Tengoku to jigoku,1963,8.3,https://www.imdb.com//title/tt0057565/
Capharnaüm,2018,8.3,https://www.imdb.com//title/tt8267604/
Citizen Kane,1941,8.3,https://www.imdb.com//title/tt0033467/
Lawrence of Arabia,1962,8.3,https://www.imdb.com//title/tt0056172/
Jagten,2012,8.3,https://www.imdb.com//title/tt2106476/
North by Northwest,1959,8.3,https://www.imdb.com//title/tt0053125/
M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com//title/tt0022100/
Vertigo,1958,8.2,https://www.imdb.com//title/tt0052357/
Le fabuleux destin d'Amélie Poulain,2001,8.2,https://www.imdb.com//title/tt0211915/
A Clockwork Orange,1971,8.2,https://www.imdb.com//title/tt0066921/
Idi i smotri,1985,8.2,https://www.imdb.com//title/tt0091251/
Full Metal Jacket,1987,8.2,https://www.imdb.com//title/tt0093058/
Double Indemnity,1944,8.2,https://www.imdb.com//title/tt0036775/
The Apartment,1960,8.2,https://www.imdb.com//title/tt0053604/
Scarface,1983,8.2,https://www.imdb.com//title/tt0086250/
Ikiru,1952,8.2,https://www.imdb.com//title/tt0044741/
The Sting,1973,8.2,https://www.imdb.com//title/tt0070735/
To Kill a Mockingbird,1962,8.2,https://www.imdb.com//title/tt0056592/
Taxi Driver,1976,8.2,https://www.imdb.com//title/tt0075314/
L.A. Confidential,1997,8.2,https://www.imdb.com//title/tt0119488/
Up,2009,8.2,https://www.imdb.com//title/tt1049413/
Heat,1995,8.2,https://www.imdb.com//title/tt0113277/
Hamilton,2020,8.2,https://www.imdb.com//title/tt8503618/
Metropolis,1927,8.2,https://www.imdb.com//title/tt0017136/
Jodaeiye Nader az Simin,2011,8.2,https://www.imdb.com//title/tt1832382/
Snatch,2000,8.2,https://www.imdb.com//title/tt0208092/
Die Hard,1988,8.2,https://www.imdb.com//title/tt0095016/
Incendies,2010,8.2,https://www.imdb.com//title/tt1255953/
Indiana Jones and the Last Crusade,1989,8.2,https://www.imdb.com//title/tt0097576/
Ladri di biciclette,1948,8.2,https://www.imdb.com//title/tt0040522/
Spider-Man: No Way Home,2021,8.2,https://www.imdb.com//title/tt10872600/
1917,2019,8.2,https://www.imdb.com//title/tt8579674/
Taare Zameen Par,2007,8.2,https://www.imdb.com//title/tt0986264/
Der Untergang,2004,8.2,https://www.imdb.com//title/tt0363163/
Per qualche dollaro in più,1965,8.2,https://www.imdb.com//title/tt0059578/
Batman Begins,2005,8.2,https://www.imdb.com//title/tt0372784/
Dangal,2016,8.2,https://www.imdb.com//title/tt5074352/
The Kid,1921,8.2,https://www.imdb.com//title/tt0012349/
Some Like It Hot,1959,8.2,https://www.imdb.com//title/tt0053291/
Everything Everywhere All at Once,2022,8.2,https://www.imdb.com//title/tt6710474/
The Father,2020,8.2,https://www.imdb.com//title/tt10272386/
All About Eve,1950,8.2,https://www.imdb.com//title/tt0042192/
Green Book,2018,8.2,https://www.imdb.com//title/tt6966692/
The Wolf of Wall Street,2013,8.2,https://www.imdb.com//title/tt0993846/
Judgment at Nuremberg,1961,8.2,https://www.imdb.com//title/tt0055031/
Unforgiven,1992,8.2,https://www.imdb.com//title/tt0105695/
Casino,1995,8.2,https://www.imdb.com//title/tt0112641/
Ran,1985,8.2,https://www.imdb.com//title/tt0089881/
Pan's Labyrinth,2006,8.2,https://www.imdb.com//title/tt0457430/
There Will Be Blood,2007,8.2,https://www.imdb.com//title/tt0469494/
The Sixth Sense,1999,8.2,https://www.imdb.com//title/tt0167404/
A Beautiful Mind,2001,8.2,https://www.imdb.com//title/tt0268978/
Monty Python and the Holy Grail,1975,8.2,https://www.imdb.com//title/tt0071853/
The Truman Show,1998,8.2,https://www.imdb.com//title/tt0120382/
Yôjinbô,1961,8.1,https://www.imdb.com//title/tt0055630/
The Treasure of the Sierra Madre,1948,8.1,https://www.imdb.com//title/tt0040897/
Shutter Island,2010,8.1,https://www.imdb.com//title/tt1130884/
Rashômon,1950,8.1,https://www.imdb.com//title/tt0042876/
The Great Escape,1963,8.1,https://www.imdb.com//title/tt0057115/
Jurassic Park,1993,8.1,https://www.imdb.com//title/tt0107290/
Kill Bill: Vol. 1,2003,8.1,https://www.imdb.com//title/tt0266697/
No Country for Old Men,2007,8.1,https://www.imdb.com//title/tt0477348/
Finding Nemo,2003,8.1,https://www.imdb.com//title/tt0266543/
The Elephant Man,1980,8.1,https://www.imdb.com//title/tt0080678/
Raging Bull,1980,8.1,https://www.imdb.com//title/tt0081398/
Chinatown,1974,8.1,https://www.imdb.com//title/tt0071315/
Gone with the Wind,1939,8.1,https://www.imdb.com//title/tt0031381/
V for Vendetta,2005,8.1,https://www.imdb.com//title/tt0434409/
Inside Out,2015,8.1,https://www.imdb.com//title/tt2096673/
The Thing,1982,8.1,https://www.imdb.com//title/tt0084787/
"Lock, Stock and Two Smoking Barrels",1998,8.1,https://www.imdb.com//title/tt0120735/
Dial M for Murder,1954,8.1,https://www.imdb.com//title/tt0046912/
El secreto de sus ojos,2009,8.1,https://www.imdb.com//title/tt1305806/
The Bridge on the River Kwai,1957,8.1,https://www.imdb.com//title/tt0050212/
Hauru no ugoku shiro,2004,8.1,https://www.imdb.com//title/tt0347149/
"Three Billboards Outside Ebbing, Missouri",2017,8.1,https://www.imdb.com//title/tt5027774/
Trainspotting,1996,8.1,https://www.imdb.com//title/tt0117951/
Gran Torino,2008,8.1,https://www.imdb.com//title/tt1205489/
Warrior,2011,8.1,https://www.imdb.com//title/tt1291584/
Fargo,1996,8.1,https://www.imdb.com//title/tt0116282/
Tonari no Totoro,1988,8.1,https://www.imdb.com//title/tt0096283/
Prisoners,2013,8.1,https://www.imdb.com//title/tt1392214/
Million Dollar Baby,2004,8.1,https://www.imdb.com//title/tt0405159/
The Gold Rush,1925,8.1,https://www.imdb.com//title/tt0015864/
Blade Runner,1982,8.1,https://www.imdb.com//title/tt0083658/
Catch Me If You Can,2002,8.1,https://www.imdb.com//title/tt0264464/
On the Waterfront,1954,8.1,https://www.imdb.com//title/tt0047296/
The Third Man,1949,8.1,https://www.imdb.com//title/tt0041959/
Bacheha-Ye aseman,1997,8.1,https://www.imdb.com//title/tt0118849/
Ben-Hur,1959,8.1,https://www.imdb.com//title/tt0052618/
12 Years a Slave,2013,8.1,https://www.imdb.com//title/tt2024544/
The General,1926,8.1,https://www.imdb.com//title/tt0017925/
Gone Girl,2014,8.1,https://www.imdb.com//title/tt2267998/
Smultronstället,1957,8.1,https://www.imdb.com//title/tt0050986/
Before Sunrise,1995,8.1,https://www.imdb.com//title/tt0112471/
The Deer Hunter,1978,8.1,https://www.imdb.com//title/tt0077416/
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,https://www.imdb.com//title/tt1201607/
In the Name of the Father,1993,8.1,https://www.imdb.com//title/tt0107207/
The Grand Budapest Hotel,2014,8.1,https://www.imdb.com//title/tt2278388/
Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com//title/tt0031679/
Le salaire de la peur,1953,8.1,https://www.imdb.com//title/tt0046268/
Barry Lyndon,1975,8.1,https://www.imdb.com//title/tt0072684/
Sherlock Jr.,1924,8.1,https://www.imdb.com//title/tt0015324/
Salinui chueok,2003,8.1,https://www.imdb.com//title/tt0353969/
Room,2015,8.1,https://www.imdb.com//title/tt3170832/
